id,time,InfectionLevel11,dead1,infected1,naive1,patientFlowOver11,patientFlowOver21,patient_severe_critical1,vaccinated1
0,0/00:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
1,0/00:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
2,0/01:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
3,0/01:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
4,0/02:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
5,0/02:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
6,0/03:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
7,0/03:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
8,0/04:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
9,0/04:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
10,0/05:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
11,0/05:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
12,0/06:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
13,0/06:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
14,0/07:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
15,0/07:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
16,0/08:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
17,0/08:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
18,0/09:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
19,0/09:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
20,0/10:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
21,0/10:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
22,0/11:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
23,0/11:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
24,0/12:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
25,0/12:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
26,0/13:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
27,0/13:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
28,0/14:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
29,0/14:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
30,0/15:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
31,0/15:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
32,0/16:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
33,0/16:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
34,0/17:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
35,0/17:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
36,0/18:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
37,0/18:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
38,0/19:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
39,0/19:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
40,0/20:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
41,0/20:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
42,0/21:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
43,0/21:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
44,0/22:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
45,0/22:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
46,0/23:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
47,0/23:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
48,1/00:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
49,1/00:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
50,1/01:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
51,1/01:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
52,1/02:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
53,1/02:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
54,1/03:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
55,1/03:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
56,1/04:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
57,1/04:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
58,1/05:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
59,1/05:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
60,1/06:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
61,1/06:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
62,1/07:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
63,1/07:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
64,1/08:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
65,1/08:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
66,1/09:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
67,1/09:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
68,1/10:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
69,1/10:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
70,1/11:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
71,1/11:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
72,1/12:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
73,1/12:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
74,1/13:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
75,1/13:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
76,1/14:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
77,1/14:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
78,1/15:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
79,1/15:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
80,1/16:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
81,1/16:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
82,1/17:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
83,1/17:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
84,1/18:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
85,1/18:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
86,1/19:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
87,1/19:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
88,1/20:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
89,1/20:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
90,1/21:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
91,1/21:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
92,1/22:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
93,1/22:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
94,1/23:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
95,1/23:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
96,2/00:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
97,2/00:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
98,2/01:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
99,2/01:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
100,2/02:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
101,2/02:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
102,2/03:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
103,2/03:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
104,2/04:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
105,2/04:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
106,2/05:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
107,2/05:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
108,2/06:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
109,2/06:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
110,2/07:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
111,2/07:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
112,2/08:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
113,2/08:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
114,2/09:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
115,2/09:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
116,2/10:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
117,2/10:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
118,2/11:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
119,2/11:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
120,2/12:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
121,2/12:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
122,2/13:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
123,2/13:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
124,2/14:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
125,2/14:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
126,2/15:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
127,2/15:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
128,2/16:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
129,2/16:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
130,2/17:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
131,2/17:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
132,2/18:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
133,2/18:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
134,2/19:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
135,2/19:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
136,2/20:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
137,2/20:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
